AccusedID,CaseMasterID,AccusedName,PersonID
1,1,Suspect_Alpha_1,A1
2,2,Suspect_Alpha_2,A2
3,3,Suspect_Alpha_3,A3
4,4,Suspect_Alpha_4,A4
5,5,Suspect_Alpha_5,A5
6,6,Suspect_Alpha_6,A6
7,7,Suspect_Alpha_7,A7
8,8,Suspect_Alpha_8,A8
9,9,Suspect_Alpha_9,A9
10,10,Suspect_Alpha_10,A10
11,11,Suspect_Alpha_11,A11
12,12,Suspect_Alpha_12,A12
13,13,Suspect_Alpha_13,A13
14,14,Suspect_Alpha_14,A14
15,15,Suspect_Alpha_15,A15
16,16,Suspect_Alpha_16,A16
17,17,Suspect_Alpha_17,A17
18,18,Suspect_Alpha_18,A18
19,19,Suspect_Alpha_19,A19
20,20,Suspect_Alpha_20,A20
21,21,Suspect_Alpha_21,A21
22,22,Suspect_Alpha_22,A22
23,23,Suspect_Alpha_23,A23
24,24,Suspect_Alpha_24,A24
25,25,Suspect_Alpha_25,A25
26,26,Suspect_Alpha_26,A26
27,27,Suspect_Alpha_27,A27
28,28,Suspect_Alpha_28,A28
29,29,Suspect_Alpha_29,A29
30,30,Suspect_Alpha_30,A30
31,31,Suspect_Alpha_31,A31
32,32,Suspect_Alpha_32,A32
33,33,Suspect_Alpha_33,A33
34,34,Suspect_Alpha_34,A34
35,35,Suspect_Alpha_35,A35
36,36,Suspect_Alpha_36,A36
37,37,Suspect_Alpha_37,A37
38,38,Suspect_Alpha_38,A38
39,39,Suspect_Alpha_39,A39
40,40,Suspect_Alpha_40,A40
41,41,Suspect_Alpha_41,A41
42,42,Suspect_Alpha_42,A42
43,43,Suspect_Alpha_43,A43
44,44,Suspect_Alpha_44,A44
45,45,Suspect_Alpha_45,A45
46,46,Suspect_Alpha_46,A46
47,47,Suspect_Alpha_47,A47
48,48,Suspect_Alpha_48,A48
49,49,Suspect_Alpha_49,A49
50,50,Suspect_Alpha_50,A50
